Nome da Faixa,Cantor ou Compositor
Flamencos en el Aire,Gipsy Kings
Signal Fire,Danny Elfman
My Loved Ones Are Waiting for Me (Waiting and Watching),The Soul Stirrers
Trav'lin' Light,Eddie Heywood and His Orchestra
Mami Wata,Olu Dara
Polka Dots And Moonbeams,NDR Bigband
Ain't No Need of Crying (Every Day Is the Same/Louisiana Blues),Clifton Chenier
God Rest Ye Merry Gentleman,Bing Crosby
This Train,The Sam Price Trio
Trav'lin' Light,Eddie Heywood
Mi Hora Mala Llego (Siguiriyas),Enrique Morente
I've Loved You All Over the World,Willie Nelson
Shape of Things to Come,The Black Crowes
Long Time Gone,The Allman Brothers Band
She's Too Young,John Mayall
All My Tomorrows,Jack DeJohnette
O Little Town of Bethlehem,Bobbie Nelson
Comtemplation,McCoy Tyner
I'll Be Your Baby Tonight,Maria Muldaur
The Christmas Song,Les Brown
Caribbean Amphibian,Jimmy Buffett
Barstool Cowboy from Old Barstow,Spike Jones
Natty Dread,Marley Girls
Clean Cut Mama,Chicago String Band
Showdown,Barcode
Ill Wind,Ray Brown
Don't Go to Sleep Without Me,The Creatures
Not Forgotten,Siouxsie and the Banshees
Robber Dub,The Clash
That Old Black Magic,Elmer Bernstein
Ain't Going Down (Til the Sun Comes Up),Garth Brooks
Puppets,10 Fold B-Low
Fury in My Eyes/Revenge,RZA
Popcorn,Bruce Haack
American Buttfuckers,JFA
O Tannenbuam,Mannheim Steamroller
Best Friends,Aaliyah
I'm Gonna Help You,Jimmy Reed
Not Fair,Rude
Don't Say Goodbye,Paulina Rubio
They Don't Want Music,The Black Eyed Peas
Stormy Weather [Index0:breakdown/index1:complete Alternative Take,Louis Armstrong
Wet Dream,Bunny Lee
Jet'm,Einstürzende Neubauten
Slippin' into Darkness,Deep Dish
Languages of Conscious Thought,Trilok Gurtu
Dead Ringer for Love,Cher
Entrapment,Jackie McLean
High Priestess,Dimitri from Paris
Ain't No Need of Cryin',Clifton Chenier
Blues Montage,Leonard Feather
Slow Walking Mama,Jimmy Reed
Nervous Man in a Four Dollar Room,Jerry Goldsmith
Barbera Allen,Michael Hurley
There'll Come a Time,Charlie Poole & the North Carolina Ramblers
Mañana (Is Soon Enough for Me),Dave Barbour & the Brazilians
We Nuh See Them,Firelinks
Badda Dan Dem,Vybz Kartel
Piney Brown Blues,Jay McShann & His Band
Don't Fade Away,Dead Can Dance
I've Been Born Again,The Five Blind Boys of Alabama
How I Wish (Ask Me Now),Carmen McRae
Tryin' to Find a Friend,Lightnin' Hopkins
On My Mind Again,Ray Price
Certified Samurai,Talib Kweli
Best Friend's Wife,Fudge Tunnel
Ain't That a Shame,John Lennon
What Could I Do?,Rev. Thomas A. Dorsey
Block Lockdown,I-20
Jailhouse Blues,John Lee Hooker
Love Theme from Blade Runner,Red Buddha
Oh Girl,Don Carlos
I'll Tell Me Ma,The Chieftains
Searching for That Booty,Boyz Wit Da Bass
Plus/Minus,Breakdown
Thanks to Uncle John,Merle Haggard
