Nome da Faixa,Cantor ou Compositor,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Genero_Avant-Garde,Genero_Blues,Genero_Children's,Genero_Classical,Genero_Comedy/Spoken,Genero_Country,Genero_Easy Listening,Genero_Electronic,Genero_Folk,Genero_Holiday,Genero_International,Genero_Jazz,Genero_Latin,Genero_New Age,Genero_Pop/Rock,Genero_R&B,Genero_Rap,Genero_Reggae,Genero_Religious,Genero_Stage & Screen,Genero_Vocal,Quadrante_Q1,Quadrante_Q2,Quadrante_Q3,Quadrante_Q4
'A' Bomb in Wardour Street,The Jam,0.00901,0.639,0.781,0.000107,4,0.151,-10.676,1,0.0545,154.4,4,0.881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
(I Got Spurs That) Jingle; Jangle; Jingle,Kay Kyser,2.94,2.106,0.678,0.0030600000000000002,15,0.1959,-40.251,3,0.1371,277.26,12,2.643,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
2000 Watts,Michael Jackson,0.0094,0.763,0.742,0.0116,0,0.0672,-3.113,1,0.155,90.503,4,0.242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
24 Hour Bulls***,Nailbomb,3.7500000000000003e-05,1.35,2.862,5.4e-05,33,2.517,-32.001,0,0.648,560.499,12,0.522,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
30$ Bag,Eyehategod,3.57e-06,0.205,0.72,0.879,5,0.0916,-7.592,1,0.0415,141.859,4,0.454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
9 - 5,Raunchy,9.46e-06,0.906,1.966,0.57,2,0.1642,-8.726,0,0.334,205.24,8,0.32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
A Nigga Witta Gun,Dr. Dre,0.037,0.689,0.975,9.56e-06,10,0.35,-2.498,0,0.219,87.284,4,0.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
A Time to Die,The Forsaken,4.11e-06,0.504,2.925,0.387,21,0.516,-13.566,3,0.393,403.74299999999994,12,0.27749999999999997,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
A Woman Just Like You,Curtis Stigers,1.956,2.583,0.759,0.01854,3,0.30000000000000004,-49.69799999999999,3,0.1272,318.657,12,1.875,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
A Year in a Minute,Fennesz,2.912,0.872,2.552,3.308,12,0.664,-37.132,0,0.1528,461.32,12,1.024,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
A-Man,Suicide,1.956,0.424,1.58,1.944,6,0.38,-22.284,2,0.28,297.728,8,0.46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Abominable Snowman in the Market,The Modern Lovers,0.684,0.72,0.633,6.42e-05,0,0.0764,-8.354,1,0.29,98.192,4,0.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Abortion,Kraut,0.00029,0.162,0.975,9.77e-05,11,0.83,-10.461,0,0.0676,171.014,3,0.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Abraham; Martin and John,The Belafonte Folk Singers,0.0186,1.578,1.39,0.0,20,0.568,-8.362,0,0.0736,305.702,8,0.816,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Absence of the Heart,Deana Carter,1.452,1.186,0.61,2.86e-05,12,0.198,-21.314,2,0.049,170.034,8,0.23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Afrodisia,Kenny Dorham,0.887,0.635,0.659,0.456,5,0.128,-7.125,1,0.0637,107.862,4,0.93,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Age of Loneliness,Enigma,0.0492,1.046,1.318,0.78,8,0.666,-25.768,0,0.0894,185.982,8,0.452,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
