Nome da Faixa,Cantor ou Compositor,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Genero_Avant-Garde,Genero_Blues,Genero_Children's,Genero_Classical,Genero_Comedy/Spoken,Genero_Country,Genero_Easy Listening,Genero_Electronic,Genero_Folk,Genero_Holiday,Genero_International,Genero_Jazz,Genero_Latin,Genero_New Age,Genero_Pop/Rock,Genero_R&B,Genero_Rap,Genero_Reggae,Genero_Religious,Genero_Stage & Screen,Genero_Vocal,Quadrante_Q1,Quadrante_Q2,Quadrante_Q3,Quadrante_Q4,target
'A' Bomb in Wardour Street,The Jam,0.0019624780776309617,0.18629737609329444,0.16862122784225164,2.3387978142076502e-05,0.08888888888888889,0.039405880569869656,0.9041298218019298,0.2,0.044855967078189306,0.19293729537900184,4,0.21672816728167285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Quadrante_Q2
(I Got Spurs That) Jingle; Jangle; Jingle,Kay Kyser,0.6405227011689811,0.6139941690962097,0.1461692054163869,0.0006688524590163934,0.33333333333333337,0.05301606547438617,0.6204803099764066,0.6000000000000001,0.11283950617283953,0.34646239972009096,12,0.6501845018450184,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,Quadrante_Q1
2000 Watts,Michael Jackson,0.002047445439172839,0.2224489795918367,0.1601199766324582,0.00253551912568306,0.0,0.014004243710215214,0.9766654518251396,0.2,0.12757201646090538,0.113091995101592,4,0.059532595325953265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Quadrante_Q1
24 Hour Bulls***,Nailbomb,7.684099593800022e-06,0.39358600583090375,0.6222392731648196,1.180327868852459e-05,0.7333333333333334,0.7565929069414974,0.6996048568085474,0.0,0.5333333333333334,0.7003961212605904,12,0.12841328413284134,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Quadrante_Q2
30$ Bag,Eyehategod,2.9193913965670624e-07,0.05976676384839649,0.15532439902693368,0.1921311475409836,0.11111111111111112,0.02140042437102152,0.9337080160359083,0.2,0.03415637860082305,0.1772661385049859,4,0.11168511685116853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Quadrante_Q2
9 - 5,Raunchy,1.5751641639686458e-06,0.26413994169096205,0.42692847613982154,0.12459016393442622,0.044444444444444446,0.04340709305850258,0.9228319874167994,0.0,0.27489711934156386,0.2564666483392898,8,0.0787207872078721,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Quadrante_Q2
A Nigga Witta Gun,Dr. Dre,0.008060520255982608,0.20087463556851307,0.2109095030909677,2.089617486338798e-06,0.22222222222222224,0.09972719005759319,0.9825638271344447,0.0,0.18024691358024694,0.10906955239547149,4,0.12816728167281674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Quadrante_Q2
A Time to Die,The Forsaken,4.0958625563776686e-07,0.14693877551020407,0.6359720635806397,0.08459016393442623,0.4666666666666667,0.15004546832373447,0.8764122532752767,0.6000000000000001,0.32345679012345685,0.5045147826956239,12,0.06826568265682657,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Quadrante_Q2
A Woman Just Like You,Curtis Stigers,0.4261435120479372,0.7530612244897958,0.16382565023672713,0.004052459016393443,0.06666666666666667,0.08457108214610488,0.5298755107129842,0.6000000000000001,0.10469135802469139,0.3981918376527629,12,0.4612546125461255,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,Quadrante_Q4
A Year in a Minute,Fennesz,0.6344224803403335,0.2542274052478134,0.5546652250869744,0.7230601092896174,0.26666666666666666,0.19490754774173993,0.6503941841060366,0.0,0.125761316872428,0.5764626496388674,12,0.2519065190651907,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,Quadrante_Q3
A-Man,Suicide,0.4261435120479372,0.1236151603498542,0.3427878872428916,0.4249180327868852,0.13333333333333333,0.1088208548044862,0.7927991866955673,0.4,0.2304526748971194,0.37203908729662866,8,0.11316113161131613,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Quadrante_Q2
Abominable Snowman in the Market,The Modern Lovers,0.1490191944036609,0.20991253644314864,0.13636006940508677,1.4032786885245902e-05,0.0,0.016792967565929066,0.9263997851648669,0.2,0.23868312757201648,0.12270012246020044,4,0.21697416974169745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Quadrante_Q1
Abortion,Kraut,6.269501956642564e-05,0.04723032069970845,0.2109095030909677,2.1355191256830602e-05,0.24444444444444446,0.24522582600788115,0.9061918554466462,0.0,0.05563786008230453,0.21369804813435636,3,0.12472324723247234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Quadrante_Q2
Abraham; Martin and John,The Belafonte Folk Singers,0.004051803711442761,0.46005830903790085,0.30137153519517995,0.0,0.4444444444444445,0.1658078205516823,0.9263230583315751,0.0,0.06057613168724281,0.38200334891160376,8,0.2007380073800738,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Quadrante_Q3
Absence of the Heart,Deana Carter,0.3163395371322805,0.3457725947521865,0.13134651099931116,6.251366120218579e-06,0.26666666666666666,0.05365262200666869,0.8021023152321947,0.4,0.04032921810699589,0.21247344613000776,8,0.05658056580565807,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Quadrante_Q3
Afrodisia,Kenny Dorham,0.19324579541135595,0.18513119533527694,0.14202757021161574,0.09967213114754099,0.11111111111111112,0.03243407093058503,0.9381869449293155,0.2,0.05242798353909466,0.1347836952990278,4,0.22878228782287827,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Quadrante_Q1
Age of Loneliness,Enigma,0.010718473617036203,0.3049562682215743,0.2856769175770998,0.17049180327868851,0.17777777777777778,0.19551379205819946,0.759384650797,0.0,0.07358024691358026,0.23240196935995802,8,0.11119311193111933,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Quadrante_Q4
Agua de Beber,Antônio Carlos Jobim,0.3562088375480845,0.5763848396501458,0.16905718944275386,0.5160655737704918,0.26666666666666666,0.06347377993331312,0.42344580208313354,0.0,0.10790123456790125,0.5147639517156924,12,0.6501845018450184,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,Quadrante_Q4
All Fall Down,Against All Authority,0.0017772928024755881,0.09387755102040815,0.21352527269398108,0.035628415300546445,0.24444444444444446,0.025159139133070628,0.9805209751980513,0.0,0.04814814814814816,0.11123384899907532,4,0.19532595325953261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Quadrante_Q2
All Good,De La Soul,0.0027664000368348763,0.2551020408163265,0.12873074139629778,5.027322404371585e-07,0.044444444444444446,0.0,0.9539543091707748,0.2,0.20823045267489715,0.12103941219103792,4,0.19507995079950802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Quadrante_Q4
All We Got,Michael McDonald,0.022003882150034248,0.22827988338192418,0.1871495958635963,0.00023169398907103823,0.11111111111111112,0.009093664746892995,0.9110927819231582,0.0,0.03720164609053498,0.15064354084922402,4,0.21549815498154984,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Quadrante_Q1
Allegiance,Proletariat,0.00041345771721366215,0.10670553935860057,0.19303507747037638,3.5628415300546446e-05,0.2,0.039405880569869656,0.9241842978535669,0.0,0.20164609053497945,0.20184190138205085,4,0.21623616236162363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Quadrante_Q2
Almeno Stavolta,Nek,0.0007729350160446811,0.1854227405247813,0.16404363103697822,5.857923497267759e-07,0.044444444444444446,0.030918460139436194,0.9422534670937794,0.0,0.023621399176954737,0.18734411316322197,4,0.13185731857318575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Quadrante_Q1
Alone Together,Lee Konitz,0.4287578924030719,0.3201166180758017,0.026236169118224063,0.28240437158469944,0.08888888888888889,0.056077599272506815,0.6161740164579057,0.0,0.09530864197530865,0.28713168220328394,6,0.13677736777367777,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,Quadrante_Q3
Always Returning,Brian Eno,0.44901934015536565,0.2615160349854227,0.07292765653201266,0.5632786885245902,0.6666666666666667,0.06311003334343739,0.3057660215218768,0.6000000000000001,0.10370370370370373,0.2651475770374629,12,0.0966789667896679,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Quadrante_Q4
Amanecí en Tus Brazos,Los Dandy's,0.14335470363420244,0.23790087463556847,0.14704112861739135,0.0,0.3111111111111111,0.1451955137920582,0.7528245065505534,0.4,0.07934156378600825,0.2569839802064329,8,0.18991389913899143,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Quadrante_Q3
Ambition,New Model Army,6.834425978381248e-06,0.2559766763848396,0.314886344810749,0.01704918032786885,0.0,0.12640193998181268,0.7651007998772371,0.4,0.05827160493827162,0.2627171169369955,8,0.39065190651906523,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Quadrante_Q2
America Loves Gangsters,CunninLynguists,0.1344222374208256,0.18367346938775508,0.09210996695411067,0.026229508196721308,0.022222222222222223,0.09912094574113366,0.9263422400398981,0.2,0.10534979423868315,0.11613475620423364,4,0.01832718327183272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Quadrante_Q3
