Nome da Faixa,Cantor ou Compositor,Gênero,Quadrante,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
Bulldog Down in Sunny Tennessee,Charlie Poole,Country; International,Q3,0.96,0.649,0.39,2.6e-06,5,0.096,-12.237,1,0.0417,167.348,4,0.903
Reborn in Blasphemy,Dismember,Electronic; International; Pop/Rock,Q2,8.12e-06,0.246,0.985,0.839,7,0.345,-4.002,1,0.132,114.45,4,0.369
Ultrasonic Meltdown,Curse of the Golden Vampire,Electronic,Q2,0.000195,0.275,0.99,0.654,6,0.263,-2.375,1,0.269,152.62,4,0.141
Last Night,Little Walter,Blues,Q3,0.358,0.458,0.443,0.0,6,0.232,-10.422,0,0.0862,69.028,4,0.45
The Masquerade is Over,George Shearing,Jazz,Q4,0.826,0.522,0.132,0.848,8,0.699,-25.412,1,0.0608,90.675,4,0.539
Little Saint Nick,The Beach Boys,Holiday; Pop/Rock,Q1,0.108,0.602,0.553,0.0,11,0.0512,-9.336,1,0.0328,130.594,4,0.971
I Call It Love,Concrete Blonde,Pop/Rock,Q3,0.196,0.432,0.934,2.9e-05,0,0.492,-5.651,1,0.0892,99.181,4,0.346
All Good,De La Soul,Rap,Q4,0.0127,0.875,0.598,2.3e-06,2,0.021,-5.481,1,0.253,96.863,4,0.793
Rats!Rats!Rats!,Deftones,Pop/Rock,Q2,4.46e-06,0.201,0.929,0.876,4,0.369,-4.603,1,0.0423,82.094,5,0.392
Exodus,Bob Marley & the Wailers,Reggae,Q4,0.0329,0.865,0.746,0.00396,7,0.141,-8.58,1,0.0486,132.846,4,0.961
I Wanna Get Next to You,Rose Royce,R&B; Stage & Screen,Q4,0.835,0.62,0.179,0.03,0,0.0928,-19.981,1,0.0314,130.864,4,0.675
Plan Out,Jah Mason,Reggae,Q3,0.0873,0.584,0.712,0.0,9,0.0533,-5.465,0,0.339,79.349,4,0.771
Get Outta My Life,Rebel Meets Rebel,Pop/Rock; Country,Q2,0.00663,0.349,0.985,5.37e-05,1,0.282,-1.577,1,0.179,100.329,4,0.412
Moment Made for Worshipping,Steven Curtis Chapman,Pop/Rock; Religious; New Age,Q4,0.289,0.248,0.793,0.0,11,0.108,-5.235,1,0.0351,103.426,4,0.224
Let Me Come Back Home,"The ""5"" Royales",R&B; Blues,Q4,0.924,0.419,0.36,0.0,2,0.0354,-10.075,0,0.0348,85.87,4,0.392
Set Yourself On Fire,Stars,Pop/Rock,Q1,0.0483,0.192,0.695,0.422,3,0.148,-7.631,1,0.0451,162.125,4,0.329
Heartland,Client,Electronic; Pop/Rock,Q3,0.00222,0.449,0.779,0.00249,2,0.147,-4.315,0,0.0313,115.012,4,0.482
Jealous Mary,Charlie Poole & the North Carolina Ramblers,Folk; Country; International,Q3,0.976,0.593,0.49,1.74e-05,5,0.2,-4.111,1,0.0325,175.028,4,0.626
When You Smiled At Me,Michael Franks,Vocal; Jazz,Q3,0.386,0.805,0.459,6.15e-05,5,0.11,-9.876,1,0.0329,120.063,4,0.848
Volare (Nel Blu di Pinto di Blu),Dean Martin,Vocal,Q4,0.88,0.612,0.144,0.0,6,0.203,-12.204,0,0.0352,128.629,4,0.343
Scotch & Soda,The Kingston Trio,Folk,Q4,0.144,0.552,0.643,0.0027,9,0.0878,-14.523,1,0.14,136.764,4,0.763
Elan,Secret Garden,Folk; International,Q1,0.194,0.238,0.635,0.0926,6,0.144,-8.86,0,0.0395,92.176,3,0.365
Common Threads,Bobby McFerrin,Children's; Jazz,Q4,0.949,0.125,0.0874,0.126,1,0.0979,-19.878,1,0.0336,53.564,4,0.0543
Take as Needed for Pain,Eyehategod,Pop/Rock,Q2,1.65e-05,0.243,0.756,0.463,0,0.322,-8.064,1,0.0432,130.959,4,0.295
Lord; Lord; Amen!,Lloyd Price,R&B,Q3,0.407,0.493,0.738,0.0,5,0.13,-6.921,1,0.262,176.071,4,0.219
Bronze Dance,Donald Byrd,Jazz,Q1,0.783,0.564,0.434,0.333,8,0.0875,-11.899,1,0.103,96.931,4,0.685
Hermanos,Gipsy Kings,International; Jazz,Q1,0.71,0.628,0.789,0.18,1,0.0792,-8.793,1,0.0431,107.342,4,0.8
Schwindel,Einstürzende Neubauten,Pop/Rock; Electronic,Q3,0.0016,0.618,0.947,0.0817,9,0.402,-6.883,1,0.174,84.084,4,0.667
Station 5: The Pearl,Gatsbys American Dream,Pop/Rock,Q2,0.000191,0.521,0.931,0.0,11,0.354,-5.007,0,0.0319,139.965,4,0.745
Salt Peanuts,Dizzy Gillespie,Jazz,Q1,0.919,0.701,0.393,0.384,5,0.0964,-9.868,1,0.155,75.908,4,0.791
Why Spring Ain't Here,Michael Franks,Vocal; Jazz,Q3,0.349,0.627,0.502,4.72e-05,1,0.148,-13.06,1,0.0688,87.245,4,0.651
Come to Rest,Blindside,Electronic; International; Pop/Rock; Religious,Q2,0.000991,0.486,0.836,0.000343,5,0.0948,-7.073,1,0.0645,125.892,4,0.0725
Body & Soul,Tuck & Patti,Easy Listening; Jazz,Q4,0.0476,0.752,0.764,9.44e-05,1,0.0543,-4.399,1,0.038,121.958,4,0.582
Who Can I Turn To (When Nobody Needs Me),Anthony Newley,Pop/Rock; Vocal; Stage & Screen,Q3,0.893,0.178,0.269,0.000445,0,0.216,-15.792,1,0.033,87.59,4,0.0999
Put 'Em Down Blues,Louis Armstrong,Jazz,Q1,0.924,0.61,0.393,0.0115,7,0.182,-11.365,1,0.134,95.215,4,0.88
Four Strong Winds,John Denver,Country; Easy Listening; Folk; International; Pop/Rock,Q4,0.573,0.497,0.236,3.2e-06,9,0.327,-15.05,1,0.028,93.135,4,0.261
The Love You Save,Alexis Korner,Blues; Pop/Rock,Q3,0.917,0.507,0.164,0.000104,0,0.114,-15.9,1,0.0528,134.464,3,0.281
Let There Be Peace on Earth,Vince Gill,Holiday; Country,Q4,0.792,0.297,0.116,2.75e-06,6,0.11,-14.472,1,0.0325,105.406,3,0.168
Hello Dolly,Harry Connick; Jr.,Jazz; Vocal,Q1,0.418,0.688,0.317,4.16e-05,0,0.226,-11.768,1,0.104,76.706,4,0.544
Cuidado,Vicentico,International; Latin,Q4,0.275,0.689,0.66,0.000155,1,0.1,-9.575,1,0.0444,86.102,4,0.964
30$ Bag,Eyehategod,Pop/Rock,Q2,3.57e-06,0.205,0.72,0.879,5,0.0916,-7.592,1,0.0415,141.859,4,0.454
No Draw No Blood,Lutan Fyah,Reggae,Q2,0.0985,0.82,0.822,0.0,11,0.142,-6.537,0,0.305,96.749,4,0.629
Es War Einmal,Cluster,Avant-Garde; Pop/Rock; Electronic,Q4,0.758,0.643,0.156,0.976,7,0.104,-20.074,1,0.0419,117.372,4,0.314
Where Is the Sun?,Billie Holiday,Jazz; Vocal; Blues,Q3,0.939,0.563,0.17,0.0,10,0.575,-12.284,1,0.0399,81.84,4,0.399
Yerba Mala,Los Dandy's,International; Latin,Q3,0.814,0.586,0.524,0.0,7,0.32,-4.27,1,0.0554,82.198,4,0.55
Dreamland,Bob Marley,Reggae,Q4,0.808,0.377,0.327,0.000261,0,0.116,-13.36,1,0.144,200.481,4,0.455
Pops Rap III...All My Children,Common,Rap,Q4,0.225,0.815,0.523,0.161,4,0.0944,-8.943,0,0.179,91.64,4,0.299
Attesa,Sarah Brightman,Stage & Screen; Pop/Rock,Q4,0.883,0.22,0.432,0.0575,7,0.306,-8.153,1,0.0328,83.276,4,0.121
Break Yourself,Xzibit,Rap,Q2,0.219,0.913,0.778,0.0,0,0.0307,-5.395,0,0.17,116.908,4,0.808
Fiddle-Faddle,Peter Brötzmann,Jazz,Q2,0.188,0.329,0.89,0.102,0,0.143,-12.966,1,0.117,94.854,4,0.208
The Booglie Wooglie Piggy,Glenn Miller,Jazz,Q4,0.957,0.541,0.373,0.00254,5,0.131,-11.133,1,0.0401,143.512,3,0.753
Shoe Box,Barenaked Ladies,Pop/Rock,Q1,0.0115,0.598,0.94,9.66e-06,2,0.143,-2.49,1,0.0604,153.104,4,0.871
Since I Fell for You,Gene Ammons,Jazz; Vocal; Easy Listening,Q3,0.87,0.415,0.385,0.45,5,0.716,-10.932,0,0.0444,209.139,3,0.463
Gentle on My Mind,Aretha Franklin,Electronic; R&B,Q1,0.741,0.506,0.501,0.0,7,0.108,-12.986,0,0.0556,85.617,4,0.618
My Girl,Smokey Robinson,R&B; Pop/Rock,Q4,0.47,0.64,0.502,0.0,0,0.385,-8.904,0,0.0325,85.005,4,0.663
Moog Island,Morcheeba,Electronic,Q4,0.877,0.369,0.242,0.521,4,0.112,-15.121,0,0.0335,109.86,4,0.0699
(I Got Spurs That) Jingle; Jangle; Jingle,Kay Kyser,Jazz; Easy Listening; Vocal,Q1,0.98,0.702,0.226,0.00102,5,0.0653,-13.417,1,0.0457,92.42,4,0.881
No Vacation from the Blues,Travis Tritt,Country,Q3,0.231,0.663,0.768,0.00207,7,0.237,-6.137,1,0.0294,114.093,3,0.545
Choppa Style,Choppa,Rap,Q1,0.245,0.867,0.89,4.46e-06,6,0.236,-4.032,0,0.201,99.998,4,0.503
Jim,Billie Holiday,Blues; Jazz; Vocal,Q3,0.979,0.612,0.126,2.18e-05,0,0.112,-11.875,0,0.0352,84.234,4,0.391
Beware of the Man (With the Candy in His Hand),The Dramatics,R&B,Q2,0.334,0.572,0.735,0.0106,2,0.19,-10.576,0,0.0664,96.711,4,0.647
Mírala Como Se Menea,Oscar D'León,Latin,Q1,0.555,0.826,0.749,0.0,7,0.0787,-6.115,1,0.044,95.171,4,0.956
Lights Over Baghdad,Crucifucks,Pop/Rock,Q2,0.00375,0.326,0.645,0.0,2,0.328,-9.952,1,0.0481,127.28,4,0.135
Misty,Joe Pass,Jazz,Q4,0.994,0.429,0.0211,0.949,8,0.145,-25.943,1,0.0699,73.2,4,0.407
Only Two Can Play,High Contrast,Electronic,Q2,0.00922,0.636,0.985,0.000145,6,0.358,-5.536,0,0.16,172.952,4,0.666
Left Handed Woman,Jimmy Reed,Blues; R&B,Q3,0.573,0.687,0.692,0.000119,9,0.287,-6.755,1,0.0341,99.912,4,0.964
